School Name,School ID,School Network
Acero Charter Schools - Roberto Clemente,400120,Charter
YCCS- Academy of Scholastic Achievement HS,400123,Options
ASPIRA Business and Finance,400172,Charter
Pilsen Elementary Community Academy,610013,Network 7
Acero Charter Schools - Brighton Park,400153,Charter
Pathways in Education- Ashburn,610557,Options
Northwest Middle School,610051,Network 3
Stephen T Mather High School,609724,Network 14
National Teachers Elementary Academy,610231,AUSL
Morton School of Excellence,610257,AUSL
Benito Juarez Community Academy High School,609764,ISP
Louisa May Alcott College Preparatory HS,610524,nan
Oscar DePriest Elementary School,610367,Network 3
Everett McKinley Dirksen Elementary School,609874,Network 1
Ernst Prussing Elementary School,610137,Network 1
Ninos Heroes Elementary Academic Center,609961,Network 12
LaSalle II Magnet Elementary School,610520,ISP
Perspectives - Leadership Academy,400061,Charter
Frank L Gillespie Elementary School,609939,ISP
Horace Greeley Elementary School,609850,Network 4
Parkside Elementary Community Academy,610116,Network 12
Henry D Lloyd Elementary School,610040,ISP
Helen Peirce International Studies ES,610122,ISP
John L Marsh Elementary School,610054,ISP
Calmeca Academy of Fine Arts and Dual Language,610353,Network 8
Manley Career Academy High School,609722,Network 15
George Washington Elementary School,610219,Network 13
Charles Sumner  Math & Science Community Acad ES,610194,Network 5
STEM Magnet Academy,610548,ISP
Thomas Drummond Elementary School,609896,Network 6
Phillip Murray Elementary Language Academy,610090,Network 9
Robert J. Richardson Middle School,610588,Network 10
Edward A Bouchet Math & Science Academy ES,609815,Network 12
Luther Burbank Elementary School,609818,Network 3
Robert Healy Elementary School,609979,Network 6
Ella Flagg Young Elementary School,610235,Network 3
Orr Academy High School,610389,AUSL
Noble - Muchin College Prep,400098,Charter
Alexander Graham Bell Elementary School,609799,Network 4
George B Swift Elementary Specialty School,610196,Network 2
Multicultural Academy of Scholarship,610385,Network 15
Virgil Grissom Elementary School,609944,Network 13
Harold Washington Elementary School,610124,Network 12
Jesse Owens Elementary Community Academy,609943,Network 13
Joseph E Gary Elementary School,609938,Network 7
Daniel Boone Elementary School,609804,Network 2
Marie Sklodowska Curie Metropolitan High School,609756,Network 15
Matthew Gallistel Elementary Language Academy,609935,Network 13
Irma C Ruiz Elementary School,610125,Network 7
CICS - Longwood,400033,Charter
Phoenix Military Academy High School,610304,ISP
Turner-Drew Elementary Language Academy,609895,ISP
Christopher House Charter School,400159,Charter
Langston Hughes Elementary School,610368,Network 13
James Weldon Johnson Elementary School,610274,AUSL
Andrew Jackson Elementary Language Academy,610060,Network 6
Fort Dearborn Elementary School,609924,Network 11
The Montessori School of Englewood Charter,400116,Charter
Sarah E. Goode STEM Academy,610558,Network 16
William C Reavis Math & Science Specialty ES,610143,Network 9
Chicago Math and Science Academy Charter School,400035,Charter
Orville T Bright Elementary School,609811,Network 13
Charles W Earle Elementary School,609897,Network 11
John J Pershing Elementary Humanities Magnet,610126,Network 9
Spencer Technology Academy,610183,Network 3
Acero Charter Schools - Esmeralda Santiago,400114,Charter
Ogden International High School,610529,nan
ASPIRA Charter School - Haugan Middle School,400017,Charter
Washington D Smyser Elementary School,610179,ISP
James Ward Elementary School,610217,ISP
Joshua D Kershaw Elementary School,610019,Network 11
Orozco Fine Arts & Sciences Elementary School,610329,Network 7
Thomas J Waters Elementary School,610220,Network 2
Gerald Delgado Kanoon Elementary Magnet School,609920,Network 7
Camelot Safe Elementary,610572,nan
Thomas Hoyne Elementary School,610002,Network 12
Ellen Mitchell Elementary School,610073,Network 5
Clara Barton Elementary School,609790,Network 11
Acero Charter Schools - Bartolomé de las Casas,400081,Charter
North Lawndale College Prep - Collins,400059,Charter
Joseph Jungman Elementary School,610015,ISP
Kate S Kellogg Elementary School,610016,Network 10
Richard J Daley Elementary Academy,610239,Network 8
Oscar Mayer Magnet School,610059,Network 4
Eli Whitney Elementary School,610227,Network 7
Christian Ebinger Elementary School,609899,ISP
